code,plot
COUEPO,F42P1
EUTEPR,F42P1
HYEROB,F42P1
IRIADE,F42P1
LICNAF,F42P1
MANICH,F42P1
MARAPA,F42P1
PENTMA,F42P1
POURBI,F42P1
POUTFP,F42P1
SOCREX,F42P1
VANTOC,F42P1
BROSGU,F42P2
BROSPA,F42P2
CONCPL,F42P2
EUTEPR,F42P2
IRIADE,F42P2
MARAPA,F42P2
MARILA,F42P2
MINQGU,F42P2
PENTMA,F42P2
SACOTR,F42P2
SOCREX,F42P2
CALOBR,F42P3
DENDAR,F42P3
GUATAE,F42P3
HIRTTR,F42P3
INGATH,F42P3
IRIADE,F42P3
LICNHY,F42P3
MINQGU,F42P3
PENTMA,F42P3
POURBI,F42P3
POUTDU,F42P3
SOCREX,F42P3
TAPIGU,F42P3
VIROSE,F42P3
VOCHFE,F42P3
CALOBR,F42P4
CESPSA,F42P4
CUPASP,F42P4
ELAEGL,F42P4
ESCHCA,F42P4
EUTEPR,F42P4
IRIADE,F42P4
LICNAF,F42P4
LICNHY,F42P4
MACRHA,F42P4
MOURGL,F42P4
PENTMA,F42P4
POUT07,F42P4
POUTDU,F42P4
POUTFP,F42P4
QUALPO,F42P4
SOCREX,F42P4
TAPUGU,F42P4
VOCHFE,F42P4
APEIME,F43P1
BROSLA,F43P1
CARAGU,F43P1
CESPSA,F43P1
ESCHCA,F43P1
GUARKU,F43P1
ILEXSK,F43P1
INGAAL,F43P1
IRIADE,F43P1
LICNAF,F43P1
MINQGU,F43P1
PENTMA,F43P1
POUT10,F43P1
POUTFP,F43P1
POUTTO,F43P1
PROTPA,F43P1
SACOTR,F43P1
STERRE,F43P1
TAPUGU,F43P1
CUPASP,F43P2
ELAEGL,F43P2
ESCHCA,F43P2
EUTEPR,F43P2
GUARKU,F43P2
INGAPE,F43P2
IRIADE,F43P2
LAETPR,F43P2
LICNAF,F43P2
MANICH,F43P2
MARAPA,F43P2
MICRCR,F43P2
ORMOIN,F43P2
POURBI,F43P2
POUT11,F43P2
PROTPA,F43P2
PROTPI,F43P2
SACOTR,F43P2
SOCREX,F43P2
TAPIGU,F43P2
TAPUGU,F43P2
UNONSP,F43P2
BROSLA,F43P3
CLETCO,F43P3
ESCHCA,F43P3
EUTEPR,F43P3
INGAAL,F43P3
INGALE,F43P3
IRIADE,F43P3
LAETPR,F43P3
LICNAF,F43P3
LICNHY,F43P3
MACRSP,F43P3
MICRCR,F43P3
PENTMA,F43P3
PROTPA,F43P3
PROTPI,F43P3
PROTRA,F43P3
SOCREX,F43P3
STEPCO,F43P3
TAPIGU,F43P3
TAPUGU,F43P3
CESPSA,F44P1
COUMMA,F44P1
DIPTPA,F44P1
EUTEPR,F44P1
INGALE,F44P1
IRIADE,F44P1
MINQGU,F44P1
POUTDU,F44P1
QUALPO,F44P1
SOCREX,F44P1
TALAGL,F44P1
TAPIGU,F44P1
TETRPA,F44P1
VANTOC,F44P1
VIROSE,F44P1
VOCHAL,F44P1
WELFRE,F44P1
CARAGU,F44P2
COUMMA,F44P2
CROTSM,F44P2
DIALGU,F44P2
DIPTPA,F44P2
EUTEPR,F44P2
GUARBU,F44P2
INGALE,F44P2
IRIADE,F44P2
MANIZA,F44P2
ORMOIN,F44P2
PENTMA,F44P2
PTEROF,F44P2
SIMAAM,F44P2
SOCREX,F44P2
TAPIGU,F44P2
WELFRE,F44P2
BROSGU,F44P3
DIPTPA,F44P3
DUSS02,F44P3
EUTEPR,F44P3
IRIADE,F44P3
LICNAF,F44P3
MINQGU,F44P3
PENTMA,F44P3
POUT12,F44P3
POUTFP,F44P3
QUALPO,F44P3
SOCREX,F44P3
TETRPA,F44P3
VANTOC,F44P3
WELFRE,F44P3
BROSGU,F44P4
BROSLA,F44P4
COUMMA,F44P4
DIPTPA,F44P4
EUTEPR,F44P4
IRIADE,F44P4
LICNAF,F44P4
PENTMA,F44P4
POUTFP,F44P4
SOCREX,F44P4
TAPIGU,F44P4
TETRPA,F44P4
VOCHAL,F44P4
WELFRE,F44P4
BROSGU,F45P1
BROSLA,F45P1
COUMMA,F45P1
DIPTPA,F45P1
ELAEGL,F45P1
ESCH02,F45P1
EUTEPR,F45P1
HYEROB,F45P1
IRIADE,F45P1
LECYAM,F45P1
MICRCR,F45P1
PENTMA,F45P1
SOCREX,F45P1
SPACCO,F45P1
TAPIGU,F45P1
VANTOC,F45P1
VATALU,F45P1
WELFRE,F45P1
BROSGU,F45P2
BROSLA,F45P2
CARAGU,F45P2
CROTSM,F45P2
DIPTPA,F45P2
DUSS02,F45P2
EUTEPR,F45P2
IRIADE,F45P2
LICNAF,F45P2
MOURGL,F45P2
ORMOIN,F45P2
PENTMA,F45P2
POUTDU,F45P2
POUTRE,F45P2
PROTSP,F45P2
QUARBR,F45P2
SACOTR,F45P2
SOCREX,F45P2
TAPUGU,F45P2
